"","countryISO","currency","cur","curcode","unitISO","fundISO"
"118","ISRAEL","New Israeli Sheqel","ILS","376","2",NA
"119","ITALY","Euro","EUR","978","2",NA
"120","JAMAICA","Jamaican Dollar","JMD","388","2",NA
"121","JAPAN","Yen","JPY","392","0",NA
"122","JERSEY","Pound Sterling","GBP","826","2",NA
"123","JORDAN","Jordanian Dinar","JOD","400","3",NA
"124","KAZAKHSTAN","Tenge","KZT","398","2",NA
"125","KENYA","Kenyan Shilling","KES","404","2",NA
"126","KIRIBATI","Australian Dollar","AUD","036","2",NA
"127","KOREA, DEMOCRATIC PEOPLE’S REPUBLIC OF","North Korean Won","KPW","408","2",NA
"128","KOREA, REPUBLIC OF","Won","KRW","410","0",NA
"129","KUWAIT","Kuwaiti Dinar","KWD","414","3",NA
"130","KYRGYZSTAN","Som","KGS","417","2",NA
"131","LAO PEOPLE’S DEMOCRATIC REPUBLIC","Kip","LAK","418","2",NA
"132","LATVIA","Euro","EUR","978","2",NA
"133","LEBANON","Lebanese Pound","LBP","422","2",NA
"134","LESOTHO","Loti","LSL","426","2",NA
"135","LESOTHO","Rand","ZAR","710","2",NA
"136","LIBERIA","Liberian Dollar","LRD","430","2",NA
"137","LIBYA","Libyan Dinar","LYD","434","3",NA
"138","LIECHTENSTEIN","Swiss Franc","CHF","756","2",NA
"139","LITHUANIA","Euro","EUR","978","2",NA
"140","LUXEMBOURG","Euro","EUR","978","2",NA
"141","MACAO","Pataca","MOP","446","2",NA
"142","MACEDONIA, THE FORMER 
YUGOSLAV REPUBLIC OF","Denar","MKD","807","2",NA
"143","MADAGASCAR","Malagasy Ariary","MGA","969","2",NA
"144","MALAWI","Kwacha","MWK","454","2",NA
"145","MALAYSIA","Malaysian Ringgit","MYR","458","2",NA
"146","MALDIVES","Rufiyaa","MVR","462","2",NA
"147","MALI","CFA Franc BCEAO","XOF","952","0",NA
"148","MALTA","Euro","EUR","978","2",NA
"149","MARSHALL ISLANDS","US Dollar","USD","840","2",NA
"150","MARTINIQUE","Euro","EUR","978","2",NA
"151","MAURITANIA","Ouguiya","MRO","478","2",NA
"152","MAURITIUS","Mauritius Rupee","MUR","480","2",NA
"153","MAYOTTE","Euro","EUR","978","2",NA
"154","MEMBER COUNTRIES OF THE AFRICAN DEVELOPMENT BANK GROUP","ADB Unit of Account","XUA","965","N.A.",NA
"155","MEXICO","Mexican Peso","MXN","484","2",NA
"156","MEXICO","Mexican Unidad de Inversion (UDI)","MXV","979","2",TRUE
"157","MICRONESIA, FEDERATED STATES OF","US Dollar","USD","840","2",NA
"158","MOLDOVA, REPUBLIC OF","Moldovan Leu","MDL","498","2",NA
"159","MONACO","Euro","EUR","978","2",NA
"160","MONGOLIA","Tugrik","MNT","496","2",NA
"161","MONTENEGRO","Euro","EUR","978","2",NA
"162","MONTSERRAT","East Caribbean Dollar","XCD","951","2",NA
"163","MOROCCO","Moroccan Dirham","MAD","504","2",NA
"164","MOZAMBIQUE","Mozambique Metical","MZN","943","2",NA
"165","MYANMAR","Kyat","MMK","104","2",NA
"166","NAMIBIA","Namibia Dollar","NAD","516","2",NA
"167","NAMIBIA","Rand","ZAR","710","2",NA
"168","NAURU","Australian Dollar","AUD","036","2",NA
"169","NEPAL","Nepalese Rupee","NPR","524","2",NA
"170","NETHERLANDS","Euro","EUR","978","2",NA
"171","NEW CALEDONIA","CFP Franc","XPF","953","0",NA
"172","NEW ZEALAND","New Zealand Dollar","NZD","554","2",NA
"173","NICARAGUA","Cordoba Oro","NIO","558","2",NA
"174","NIGER","CFA Franc BCEAO","XOF","952","0",NA
"175","NIGERIA","Naira","NGN","566","2",NA
"176","NIUE","New Zealand Dollar","NZD","554","2",NA
"177","NORFOLK ISLAND","Australian Dollar","AUD","036","2",NA
"178","NORTHERN MARIANA ISLANDS","US Dollar","USD","840","2",NA
"179","NORWAY","Norwegian Krone","NOK","578","2",NA
"180","OMAN","Rial Omani","OMR","512","3",NA
